,name,address
118,천안용곡점,충청남도 천안시 동남구  새말1길 47
119,천안쌍용점,충청남도 천안시 서북구 쌍용2동 725번지
120,천안신부점,충청남도 천안시 동남구 신부동 319-37
121,천안성환점,충청남도 천안시 서북구  성환3로 38 1층
122,천안성정점,충청남도  천안시 서북구  성정로 47-1
123,천안백석점,"충청남도  천안시 서북구   백석4길 31, 108호"
124,천안두정점,충청남도 천안시 서북구 두정동 서부대로 781
125,창원팔용점,경상남도 창원시 의창구 팔용동 183-9번지
126,창원중앙점,경상남도 창원시 성산구 중앙동 78-2
127,창원소답점,경상남도 창원시 의창구 소답동 118-4번지 칠성빌라 나동 1호
128,창원봉곡사림점,경상남도 창원시 의창구  사림로 53
129,창원반송점,경상남도 창원시 성산구  원이대로393번길 17
130,창원명서도계점,경상남도 창원시 의창구  도계동396-7 1층
131,창원동읍점,경상남도 창원시 의창구 동읍 용정길32번길 16
132,창원대방점,"경상남도 창원시 성산구 창이대로901번길 30, 120호(대방동, 대방그린빌아파트)"
133,창원감계점,"경상남도 창원시 의창구 북면 감계로 266, 204호"
134,창녕읍점,경상남도 창녕군 창녕읍 명덕로6-1
135,창4동점,"서울특별시 도봉구  노해로70길 46,102호"
136,창2동점,"서울특별시 도봉구  도봉로 110다길 51,  태영 창동데시앙 아파트상가 109호"
137,진해웅천점,경상남도 진해시 성내동 359-1번지
138,진해용원웅동점,경상남도 진해시 안골동 376-3
139,진해석동풍호점,"경상남도 창원시 진해구  냉천로 88, 103호"
140,진해경화태백점,경상남도 창원시 진해구  중초로 37
141,진천읍점,충청북도 진천군 진천읍 중앙동로 132
142,진주하대초장점,경상남도 진주시  하대로 116
143,진주칠암망경점,경상남도 진주시  진주대로 849-10
144,진주신안평거점,경상남도 진주시 신평공원길 25번길 12-13
145,진주상봉봉안점,경상남도 진주시  진주성로 103
146,진주상대점,경상남도 진주시 상대동 310-78번지
147,진주금산점,경상남도 진주시 금산면 중천로 74
148,진주가호점,경상남도 진주시  진주대로 568번길 8
149,진접지구점,경기도 남양주시 진접읍 해밀예당2로 117
150,진안점,"경기도  화성시  병점동로 126, 1층 101,102호"
151,진부점,강원도 평창군 진부면 진부중앙로 53
152,진도점,전라남도 진도군 진도읍 쌍정리 257-20
153,지행1호점,경기도 동두천시 지행동 688번지
154,지세포점,경상남도 거제시 일운면 거제대로 2471
155,지산신장점,경기도 평택시  송탄공원로73 (지산동)
156,중화1호점,서울특별시 중랑구 중화1동 295-22
157,중촌목동점,대전광역시 중구  중촌로24번길 23. 1층
158,중앙반월점,"경상남도 창원시 마산합포   3.15대로 77, 105호"
159,중앙경찰학교점,충청북도 충주시 수안보면 수회리로 138
160,중산점,경기도 고양시 일산동구  탄중로 431번길 32 031-975-9291
161,중동2호점,경기도 부천시 원미구 중동 1058-1
162,중곡4동점,서울특별시 광진구 중곡동 79-16번지
163,중곡1동점,서울특별시 광진구  능동로 339
164,죽전단국대점,"경기도 용인시 수지구  죽전로 164, 1층 102호(죽전동, 화이트존)"
165,주엽2동점,"경기도 고양시 일산서구  중앙로 1471, 105호"
166,주안3호점,인천광역시 남구  미추홀대로 591
167,주문진읍점,강원도 강릉시 주문진읍 시장길 30
168,좌4동점,"부산광역시 해운대구  세실로 174(좌동, 삼성아파트 분산상가 103호)"
169,"좌1,3동점","부산광역시 해운대구  대천로67번길 15, 112호"
170,종암점,"서울특별시 성북구  종암로 19길 46, 103호"
171,종로4가점,서울특별시 종로구  창경궁로 113
172,조치원점,"세종특별자치시  조치원읍   충현로 72,삼일상가@110호"
173,제천하소점,충청북도 제천시  용두대로15가길 13
174,제주함덕점,제주도 제주시 조천읍 함덕24길 6-6
175,제주한림점,제주도 제주시 한림읍 한림로 653
176,제주중문점,제주도 서귀포시  천제연로 183-1
177,제주외도점,"제주도 제주시  우정로18길 12, 1층"
178,제주영어도시점,제주도 서귀포시 대정읍 에듀시티로 23 상가동 105호
179,제주연동점,제주도 제주시 연동 274-21
180,제주아라점,제주도 제주시 아라1동  1718-3 원신아파트 상가 1층
181,제주신촌점,"제주도 제주시 조천읍 신북로99,1층"
182,제주서사라점,제주도 제주시  서사로 149
183,제주동홍점,제주도 서귀포시  일주동로 8588
184,제주노형점,제주도 제주시  정존13길 14
185,정자해변점,울산광역시 북구  강동산하2로 7
186,"정자2,3동점","경기도 성남시 분당구  내정로 54, 한솔마을 나상가동 104호"
187,정자1동점,경기도 성남시분당구  내정로119번길 17
188,정읍수성점,전라북도 정읍시  수성택지4길 4
189,정읍상동점,전라북도 정읍시  충정로 37
190,"정왕3,4동점","경기도 시흥시  정왕신길로49번길 28, 미주@상가 107호"
191,정발산점,경기도 고양시 일산동구  산두로 239
192,정림복수점,대전광역시 서구  정림동로5번길 40
193,정릉역점,"서울특별시 성북구 정릉로 26길 8, 제상가동 1층"
194,정릉1호점,서울특별시 성북구  보국문로16길 74
195,정관신도시점,"부산광역시 기장군 정관읍 가동길 8-25, 1층"
196,정관모전점,"부산광역시 기장군 정관면 정관로 350, 323동 B101호 (이지더원3차)"
197,전주효자중화산2호점,전라북도 전주시 완산구 효자동1가 623-4번지
198,전주평화점,전라북도 전주시 완산구  평화로 139
199,전주진북점,전라북도 전주시 덕진구 진북동 434-45번지
200,전주아중점,전라북도 전주시 덕진구  무삼지로 53
201,전주서신점,전라북도 전주시 완산구  전룡로 28
202,전주삼천점,전라북도 전주시 완산구  삼천동1가 306-25
203,전북혁신도시점,"전라북도 전주시 완산구  오정2길 32, 201호"
204,전북남원점,전라북도 남원시  옥정2길 13
205,전남화순점,전라남도 화순군 화순읍 광덕리 305번지
206,전남장흥점,전라남도 장흥군 장흥읍 북부로 62-1
207,전남영암점,전라남도 영암군 영암읍 중앙로 16
208,전남영광점,전라남도 영광군 영광읍 옥당로 123
209,전남나주점,"전라남도 나주시  중앙로 20, 1층"
210,전남광양읍점,전라남도 광양시 광양읍 유당로 43
211,전남강진점,전라남도 강진군 강진읍 보은로1길 25
212,전곡점,경기도 연천군 전곡읍 은전로 86번길 18
213,재궁오금동점,경기도 군포시 금정동 719번지
214,장천산동점,"경상북도 구미시 산동면 산호대로39길16, 1동 101호"
215,장지역점,서울특별시 송파구  송이로36길 37
216,장지동점,경기도 광주시 장지동 342-12 정현빌딩 A동
217,장안2동점,"서울특별시 동대문구  장한로33길 34, 1층"
218,장안1동점,"서울특별시 동대문구  장한로 9길 16,1층"
219,장성창포점,경상북도 포항시 북구  대곡로 10
220,장성읍점,전라남도 장성군 장성읍 청운길 9-1
221,장기감삼점,대구광역시 달서구 장기동 528
222,잠원점,서울특별시 서초구  강남대로95길 47-4
223,잠실본동점,서울특별시 송파구 잠실본동 222-10 1층
224,잠실2호점,서울특별시 송파구  석촌호수로 135
225,잠실1호점,서울특별시 송파구  올림픽로 35길 104-108
226,작전서운점,인천광역시 계양구  까치말로45번길 10
227,작전2동점,"인천광역시 계양구  계양대로 120번길 7, 102호"
228,자운점,대전광역시 유성구 신봉동 5-2 창조레스텔 1층
229,자양점,서울특별시 광진구  뚝섬로 41길 8
230,임학점,"인천광역시 계양구  계양산로 216번길 14, 103호"
231,일신부개점,인천광역시 부평구  경인로 1002번길 34-1
232,일산풍동점,"경기도 고양시일산동구  고풍로 72-41, 104호"
233,일산장항점,경기도 고양시일산동구 장항동 902번지 호수마을1단지 중관 1058호
234,일산식사점,"경기도 고양시일산서구  위시티3로 75, 1층"
235,일산마두점,경기도 고양시 일산동구  일산로 241
236,일산가좌점,경기도 고양시 일산서구 가좌동 392-22번지 오성프라자 101호
237,일도동광초점,제주도 제주시  연수로3길 7
238,인헌점,서울특별시 관악구  인헌길 43
239,인천효성점,인천광역시 계양구 효성2동 242-7번지 신진상가 A동 107호
240,인천주안2호점,인천광역시 남구  석정로 379
241,인천주안1호점,"인천광역시 미추홀구 석바위로 112, 1층"
242,인천용현2점,인천광역시 남구  낙섬중로 72
243,인천연희점,인천광역시 서구 심곡동 336-4번지 1층 103호
244,인천신포점,인천광역시 중구  신포로23번길 35-1
245,인천숭의점,인천광역시 남구  수봉로 6-15
246,인천석남점,인천광역시 서구  석남로 78
247,인천검단점,인천광역시 서구 마전동 903-12번지 101호
248,인창1호점,경기도 구리시 인창동 383-54번지 1층
249,인제점,강원도 인제군 인제읍 상동리 296-8
250,인계동수원점,경기도 수원시 팔달구 인계동 167-8
251,익산영등점,전라북도 익산시  무왕로 15길 5-4
252,익산어양점,"전북 익산시  무왕로 19길 18, 1층 103호"
253,익산신동점,전라북도 익산시  익산대로68길 26
254,익산부송점,전라북도 익산시  무왕로26길 21
255,익산모현점,전라북도 익산시  선화로3길 39-15
256,익산동산점,전라북도 익산시 중앙로166-1 1층 (마동)
257,이태원점,서울특별시 용산구  우사단로12길 18
258,이충장당점,경기도 평택시 서정동 1104-7번지
259,이천하이닉스점,"경기도 이천시 부발읍 경충대로 2216-4, 1층 101호"
260,이천점,경기도 이천시  이섭대천로 1381
261,이천관고점,경기도 이천시  영창로 149
262,이문2호점,서울특별시 동대문구 이문동 345-7번지
263,이문1호점,서울특별시 동대문구  신이문로 38
264,이매점,"경기도 성남시 분당구  이매로13, 108호"
265,의정부용현점,경기도 의정부시 (용현동) 용민로 75-27
266,의정부민락점,"경기도 의정부시  오목로 168, 산들마을 제동상가 104호"
267,의정부동점,경기도 의정부시  신흥로 196
268,의정부녹양점,경기도 의정부시 녹양동 326-2
269,의왕오전점,경기도 의왕시  오전동길 25
270,의왕삼동부곡점,경기도 의왕시  솔밭길 18-4
271,응암1호점,서울특별시 은평구 응암로22길 7-1
272,음성혁신1호점,충청북도 음성군 맹동면 용두2나길 12
273,은행선화점,대전광역시 중구  대종로549번길 14
274,은행동점,경기도 성남시 중원구 은행동 701번지 1층
275,은평뉴타운점,"서울특별시 은평구  진관4로 78-8, 701동 104호"
276,은천점,"서울특별시 관악구  은천로 61, 1층"
277,율량사천점,충청북도 청주시 청원구  율천북로 55
278,율량2지구점,충청북도 청주시 청원구 주성로 289
279,유천점,대전광역시 중구  태평로44번길 32
280,유가점,대구광역시 달성군 유가면 테크노중앙대로6길 20 1층 (봉리592-1)
281,위례1호점,"경기도 성남시수정구 위례광장로 45, 1층 102호"
282,월피점,"경기도 안산시 상록구 안산천서로5길 27, 1층"
283,월계2동점,서울특별시 노원구 월계동 776 월계프라자 104호
284,원통점,강원도 인제군 북면 원통로147번길 41
285,원주혁신점,"강원도 원주시  황금로 13, 201호"
286,원주단구점,"강원도 원주시  단구로 414, 1층 102호"
287,원주기업도시점,"강원도 원주시 지정면 신지정로 197-5, 1층 102호"
288,원주개운점,강원도 원주시 개운동 393-6번지
289,원당검단점,"인천광역시 서구 당하동 1030-1, 106호"
290,원내점,대전광역시 유성구 원내동 84-11번지
291,원곡본동점,경기도 안산시 단원구  화랑로 28
292,울산화봉점,울산광역시 북구  상방로 139
293,울산일산대송점,울산광역시 동구 일산동 535-4번지
294,울산온양점,울산광역시 울주군 온양읍 대안리415-19번지
295,울산온산점,"울산광역시 울주군 온산읍 영남6길 7, 1층"
296,울산옥동신정1호점,울산광역시 남구 옥동 1405-27번지
297,울산언양점,울산광역시 울주군 언양읍 동부리 257-10번지
298,울산야음점,울산광역시 남구  야음동 693-5
299,울산신정3호점,울산광역시 남구 신정5동 265-50번지
300,울산성안점,울산광역시 중구  백양로 14
301,울산삼호점,울산광역시 남구 무거동 1447-9호
302,울산삼산점,"울산광역시 남구  돋질로 334, 1층"
303,울산복산점,울산광역시 중구  화합로 498
304,울산방어꽃바위점,울산광역시 동구  화문로 41
305,울산반구점,"울산광역시 중구  화합로 388, 1호"
306,울산무거점,울산광역시 남구  신복로7 1층
307,울산달동점,울산광역시 남구  번영로89번길 23
308,울산다운점,울산광역시 중구  다운로 64
309,울산농소1호점,울산광역시 북구 매곡동 474-1번지 H프라자 1층 108-1호
310,울산남목점,울산광역시 동구  미포3길 35
311,운정2호점,"경기도 파주시  한울로 84, 518동 102호"
312,운정1호점,"경기도 파주시  가온로 27, 월드아파트상가 108호"
313,운양점,경기도 김포시  김포한강11로 288-27
314,운서점,"인천광역시 중구  신도시남로141번길 16, 102호"
315,우정태화점,울산광역시 중구  태화로 263
316,우장산동점,서울특별시 강서구  화곡로31길 18
317,우아호성점,전라북도 전주시 덕진구  우아로28
318,우만1동점,경기도 수원시 팔달구  세지로 440
319,용호메트로점,"부산광역시 남구  용호로90번길 12-4, A-103호"
320,용현1호점,인천광역시 남구 용현동 2-9
321,용인죽전1호점,경기도 용인시 수지구 죽전동 425-2번지 108호
322,용인역북점,"경기도 용인시 처인구 역북동 명지로40번길 35-16,상가동 지1층"
323,용인양지점,"경기도 용인시 처인구  양지로 143번길 5-5 1층 1,2호"
324,용인성복점,경기도 용인시 수지구 성복동 134번지 302호
325,용인보라점,"경기도 용인시 기흥구  한보라1로 42-4., 105호"
326,용인둔전점,경기도 용인시 처인구 포곡읍 둔전리 405-19 105호
327,용인동천점,"경기도 용인시 수지구  수풍로117번길 2-2, 102호"
328,용인김량장동점,"경기도 용인시 처인구 중부대로 1393, 1층 3호"
329,용인구성점,경기도 용인시 기흥구  마북로 98
330,용인강남대점,"경기도 용인시 기흥구 강남로 12, 108, 109호(구갈동, 스카이프라자)"
331,용이동점,"경기도 평택시  현신3길 4, 102호"
332,용운판암점,대전광역시 동구  새울로91번길2
333,용산용문점,서울특별시 용산구  새창로 119
334,용두신설점,서울특별시 동대문구  안암로 40
335,"용당용호2,4동점",부산광역시 남구  용주로 29
336,용담점,제주도 제주시 용담로70
337,완주삼례점,전라북도 완주군 삼례읍 삼봉로 117
338,완월자산점,경상남도 창원시 마산합포  고운로 181
339,완도점,전라남도 완도군 완도읍 가용리 1062-4
340,와동점,경기도 안산시 단원구  753-9 번지 1층
341,온천3동점,부산광역시 동래구  충렬대로86번길 31
342,온의퇴계점,강원도 춘천시 온의동 541-3번지
343,옥정지구점,경기도 양주시  옥정동로5길 49
344,옥산정평점,경상북도 경산시  성암로 21길 43
345,옥련점,인천광역시 연수구  청량로239번길 11
346,옥길지구점,"경기도 부천시  범안로 219번길 19, 지하2층 비207호 (옥길동)"
347,옥곡백천점,"경상북도 경산시  백천동로7, 상가동 108호"
348,옥계구포점,경상북도 구미시  산호대로 25길 25-38
349,오태북삼점,경상북도 칠곡군 북삼읍 북삼로 109
350,오창2산단점,"충청북도 청주시 청원구 오창읍 2산단로 185-1, 1층"
351,오송점,충청북도  청주시 흥덕구 오송읍 만수길 14-4
352,오산중앙점,경기도 오산시  경기대로 333번길 31
353,오산신장점,경기도 오산시  오산로348번길 3
354,오산대원점,경기도 오산시  오산로 198번길 29
355,오목천점,경기도 수원시 권선구  오목천로 31
356,오금점,서울특별시 송파구  마천로 196
357,예산읍점,충청남도 예산군 예산읍 역전로140번길21
358,예산삽교읍점,충청남도 예산군 삽교읍 삽교로 88
359,영통2동점,경기도 수원시 영통구 영통2동 77-2번지
360,영통1동점,경기도 수원시 영통구  반달로 7번길 40
361,영천동부점,"경상북도 영천시  창신1길 42, 301동 1층 3호"
362,영주휴천점,경상북도 영주시  지천로 108
363,영주대청점,부산광역시 중구  동영로 24
364,영주가흥점,경상북도 영주시 가흥동 1810-1
365,영월점,강원도  영월군  영월읍  중앙로 13
366,영암삼호점,"전라남도 영암군 삼호읍 삼호중앙로 234, 나동 1층"
367,영동읍점,충청북도 영동군 영동읍 계산리 588-36
368,영덕읍점,경상북도 영덕군 영덕읍 남석리 23번지
369,영덕영해점,경상북도 영덕군 영해면 성내리 481-3
370,염창역점,"서울특별시 양천구  공항대로 644, 지앤빌딩"
371,연일유강점,경상북도 포항시 남구  철강로 25번길 60
372,연수교현점,충청북도 충주시  갱고개로 39
373,연수1동점,인천광역시 연수구  먼우금로 264번길 12
374,연산2호점,부산광역시 연제구 연산동 798-1
375,연산1동점,부산광역시 연제구 연산동 615-10
376,연무읍점,충청남도 논산시 연무읍 연무로 180-1
377,연남점,서울특별시 마포구  동교로27길 91
378,역촌점,서울시 은평구  연서로 49
379,역삼2동점,"서울특별시 강남구  언주로 69길 16, 103호"
380,역삼1동점,"서울특별시 강남구  역삼로 129 ,104호"
381,역곡점,"경기도 부천시  부일로763번길 17, 1층 1호"
382,여주점,경기도 여주시  여흥로 108
383,여좌중앙점,경상남도 창원시 진해구  충장로41
384,여의도3호점,서울특별시 영등포구 여의도동 84
385,여의도1호점,서울특별시 영등포구 여의도동15-16 산정빌딩 105호
386,여월도당점,경기도 부천시 오정구 여월동 5번지 대원스카이빌 1층 11호
387,여수죽림점,전라남도 여수시 소라면 죽림중앙로 33
388,여수여천점,전라남도 여수시  망마로 102
389,여수여서점,전라남도 여수시  여문1로 28
390,여수봉산국동점,전라남도 여수시  어항로 27-1
391,여수미평점,전라남도 여수시  양지1길 6-14
392,여수문수점,전라남도 여수시  문수로 24
393,여수무선점,전라남도 여수시  화산1길 7
394,여수돌산점,전라남도 여수시 돌산읍 강남8길 15-34
395,여수관문점,전라남도 여수시 충무동 463-1번지
396,양주삼숭고읍점,"경기도 양주시  부흥로 2094, TS푸른솔3차아파트 상가동"
397,양주백석점,경기도 양주시 벡석읍 호명로 92
398,양주덕정점,경기도 양주시  고암길 154-12
399,양주덕계점,경기도 양주시 덕계동 473-4번지
400,양정염포점,울산광역시 북구  염포로 563
401,양재1동점,서울특별시 서초구 양재1동 110-5번지
402,양양점,강원도 양양군 양양읍 남문로15
403,양양낙산점,강원도 양양군 강현면 일출로 31-10
404,양산신도시점,"경상남도 양산시  양주로 38, 1층 108호"
405,양산석산점,"경상남도 양산시 동면 금오12길 4-5, 1층"
406,양산서창점,경상남도 양산시 삼호동 794-1 1층
407,양산범어점,경상남도 양산시 물금읍 범구로 17
408,양산물금점,"경상남도 양산시 물금읍 버들길 36, 1층"
409,양산덕계점,경상남도 양산시  배움터길 20
410,양구점,강원도 양구군 양구읍 중심로 184-1
411,야탑3동점,경기도 성남시분당구  벌말로 29번길 18
412,"야탑1,2동점","경기도 성남시분당구  판교로 443, 106-1,107-1호"
413,애월점,제주특별자치도 제주시 애월읍 고내로11길 30
414,압량조영점,경상북도 경산시 압량면 청운1로 89
415,압구정점,서울특별시 강남구 신사동 619-6번지
416,암사3동점,서울특별시 강동구  암사길 88
417,알펜시아점,강원도 평창군 대관령면 솔봉로 325
418,안양중앙시장점,경기도 안양시 만안구  냉천로 193번길 42 안양4동 711-120
419,안양박달점,경기도 안양시 만안구  박달로 506
420,안양관양점,경기도 안양시 동안구 관양1동 1386-18번지
421,안양7동점,"경기도 안양시 만안구  태평로 52번길 37, 지상 1층 110호"
422,안성한경대점,경기도 안성시 석정동 343번지 우남상가 102호
423,안산한양대점,경기도 안산시 상록구  사동 1550-8
424,안산초지점,경기도 안산시 단원구 초지동 742-9번지 메가쇼핑 113호
425,안산일동점,경기도 안산시 상록구 일동 88-2번지 102호
426,안산성포점,경기도 안산시 상록구 성포동 592-2번지 현대@상가 112동 107호
427,안동중앙점,경상북도 안동시  퇴계로 152
428,안동용상점,경상북도 안동시  경동로 908
429,안동1호점,경상북도 안동시  경동로 349
430,아산탕정점,"충청남도 아산시 탕정면 명암리 939-10, 101호"
431,아산장재점,"충청남도 아산시  용연로 71, 103호"
432,아산용화점,충청남도 아산시  온중로39
433,아산신창점,충청남도 아산시 신창면 행목리 215-3
434,아산둔포테크노벨리점,충청남도 아산시 둔포면 석곡리 1797
435,아산권곡점,"충청남도 아산시  청운로 146번길 2, 201호"
436,쌍문점,서울특별시 도봉구  도봉로 125길 53
437,심곡점,"경기도 부천시  신흥로 22, 1층 105호(심곡동, 스카이파크)"
438,신흥약대점,경기도 부천시 원미구  약대동 118
439,신현원창점,"인천광역시 서구   원창로 222,1층"
440,신평비산점,경상북도 구미시  구미대로30길 26
441,신탄진점,대전광역시 대덕구  덕암로 255
442,신촌점,서울특별시 서대문구  연세로 42-32
443,신창신가점,광주광역시 광산구  신창로86번길 7-9
444,신정4동점,서울특별시 양천구  오목로 130
445,신정3동점,서울특별시 양천구 신정3동 761-89번지 대승프라자 103호
446,신월성점,"대구광역시 달서구 조암남로85,115호 (월성동,DS타워)"
447,신월사파점,경상남도 창원시 의창구  원이대로 687
448,"신월3,5동점",서울특별시 양천구 신월5동 58-1번지
